Designator,Mid X,Mid Y,Layer,Rotation
C1,43.18,32.26,Top,180.0
C2,43.18,47.50,Top,180.0
C3,43.18,62.74,Top,180.0
C4,58.42,47.50,Top,180.0
C5,58.42,62.74,Top,180.0
C6,58.42,32.26,Top,180.0
C7,38.10,13.97,Top,180.0
C8,45.72,11.68,Top,0.0
C9,45.72, 7.62,Top,0.0
C10,45.72, 3.56,Top,0.0
C11,30.48,11.68,Top,180.0
C12,30.48, 7.62,Top,180.0
C13,30.48, 3.56,Top,180.0
C14,78.74,10.16,Top,0.0
IC1,43.18,55.12,Top,270.0
IC2,43.18,39.88,Top,270.0
IC3,43.18,24.64,Top,270.0
IC4,58.42,55.12,Top,270.0
IC5,58.42,39.88,Top,270.0
IC6,58.42,24.64,Top,270.0
IC7,38.10, 7.62,Top,270.0
LED1,88.90, 8.89,Top,90.0
R4,45.72,16.51,Top,180.0
R5,88.90,11.43,Top,180.0
R6,45.72,13.72,Top,180.0
R7,45.72, 9.65,Top,180.0
R8,45.72, 5.59,Top,180.0
R9,30.48,13.72,Top,0.0
R10,30.48, 9.65,Top,0.0
R11,30.48, 5.59,Top,0.0
RN1,50.80,55.12,Top,270.0
RN2,50.80,51.31,Top,270.0
RN3,50.80,39.88,Top,270.0
RN4,50.80,36.07,Top,270.0
RN5,50.80,24.64,Top,270.0
RN6,50.80,20.83,Top,270.0
U1,71.12,55.12,Top,0.0
U2,71.12,39.88,Top,0.0
U3,71.12,24.64,Top,0.0
